Appliances,Random Forest,Random Forest (error),Linear Regression,Linear Regression (error),Tree,Tree (error),kNN,kNN (error),lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,RH_out,Visibility,Tdewpoint,rv1,rv2,Press_mm_hg,Windspeed
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,meta,meta,meta,meta,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,59.25,-0.75,166.039,106.039,60,0,202,142,30,19.89,47.5967,19.2,44.79,19.79,44.73,19,45.5667,17.1667,55.2,7.02667,84.2567,17.2,41.6267,18.2,48.9,17.0333,45.53,6.6,92,63,5.3,13.2754,13.2754,733.5,7
60,59.5,-0.5,151.088,91.0883,60,0,62,2,30,19.89,46.6933,19.2,44.7225,19.79,44.79,19,45.9925,17.1667,55.2,6.83333,84.0633,17.2,41.56,18.2,48.8633,17.0667,45.56,6.48333,92,59.1667,5.2,18.6062,18.6062,733.6,6.66667
50,54.35,4.35,146.233,96.2332,50,0,194,144,30,19.89,46.3,19.2,44.6267,19.79,44.9333,18.9267,45.89,17.1667,55.09,6.56,83.1567,17.2,41.4333,18.2,48.73,17,45.5,6.36667,92,55.3333,5.1,28.6427,28.6427,733.7,6.33333
50,49.85,-0.15,161.628,111.628,50,0,132,82,40,19.89,46.0667,19.2,44.59,19.79,45,18.89,45.7233,17.1667,55.09,6.43333,83.4233,17.1333,41.29,18.1,48.59,17,45.4,6.25,92,51.5,5,45.4104,45.4104,733.8,6
60,58.4333,-1.56667,167.686,107.686,60,0,166,106,40,19.89,46.3333,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09,6.36667,84.8933,17.2,41.23,18.1,48.59,17,45.4,6.13333,92,47.6667,4.9,10.0841,10.0841,733.9,5.66667
50,54.85,4.85,160.88,110.88,55,5,132,82,40,19.89,46.0267,19.2,44.5,19.79,44.9333,18.89,45.73,17.1333,55.03,6.3,85.7667,17.1333,41.26,18.1,48.59,17,45.29,6.01667,92,43.8333,4.8,44.9195,44.9195,734,5.33333
60,82.35,22.35,176.028,116.028,55,-5,130,70,50,19.89,45.7667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9667,6.26333,86.09,17.1333,41.2,18.1,48.59,17,45.29,5.9,92,40,4.7,47.2338,47.2338,734.1,5
60,84.1833,24.1833,171.689,111.689,60,0,136,76,50,19.8567,45.56,19.2,44.5,19.73,44.9,18.89,45.8633,17.1,54.9,6.19,86.4233,17.1,41.2,18.1,48.59,17,45.29,5.91667,91.8333,40,4.68333,33.0399,33.0399,734.167,5.16667
60,69.1,9.1,152.63,92.6304,65,5,144,84,40,19.79,45.5975,19.2,44.4333,19.73,44.79,18.89,45.79,17.1667,55,6.12333,87.2267,17.1667,41.4,18.1,48.59,17,45.29,5.93333,91.6667,40,4.66667,31.4557,31.4557,734.233,5.33333
70,82.7667,12.7667,163.694,93.6938,65,-5,150,80,40,19.8567,46.09,19.23,44.4,19.79,44.8633,18.89,46.0967,17.1,55,6.19,87.6267,17.2,41.5,18.1,48.59,17,45.29,5.95,91.5,40,4.65,3.08931,3.08931,734.3,5.5
230,198.6,-31.4,215.97,-14.0299,145,-85,214,-16,70,19.9267,45.8633,19.3567,44.4,19.79,44.9,18.89,46.43,17.1,55,6.19,87.8667,17.2475,42.7175,18.1,48.59,17,45.29,5.96667,91.3333,40,4.63333,10.2987,10.2987,734.367,5.66667
580,428.508,-151.492,201.311,-378.689,505,-75,238,-342,60,20.0667,46.3967,19.4267,44.4,19.79,44.8267,19,46.43,17.1,55,6.12333,87.9933,17.53,44.2633,18.0667,48.6333,16.89,45.29,5.98333,91.1667,40,4.61667,8.82784,8.82784,734.433,5.83333
430,329.308,-100.692,203.243,-226.757,505,75,132,-298,50,20.1333,48,19.5667,44.4,19.89,44.9,19,46.3633,17.1,55.09,6.12333,88.59,17.8233,45.4933,18.0667,48.56,16.9633,45.29,6,91,40,4.6,34.3511,34.3511,734.5,6
250,254.808,4.80833,245.176,-4.82401,186.667,-63.3333,168,-82,40,20.26,52.7267,19.73,45.1,19.89,45.4933,19,47.2233,17.1,55.1633,6.0675,88.215,17.9633,46.16,18.0333,48.6667,16.89,45.3267,6,90.5,40,4.51667,19.2052,19.2052,734.617,6
100,149.364,49.3639,231.835,131.835,110,10,142,42,10,20.4267,55.8933,19.8567,45.8333,20.0333,47.5267,19,48.6967,17.1,55.5,5.9,88.1567,17.9633,45.5333,18.1,49.1933,16.89,45.345,6,90,40,4.43333,38.4921,38.4921,734.733,6
100,95.5722,-4.42778,193.545,93.5447,110,10,164,64,10,20.5667,53.8933,20.0333,46.7567,20.1,48.4667,19,48.49,17.15,56.0425,5.8,88.3667,17.89,44.9267,18.15,49.2,16.89,45.3267,6,89.5,40,4.35,24.885,24.885,734.85,6
90,92.9056,2.90556,167.873,77.8729,75,-15,86,-4,10,20.73,52.66,20.1667,47.2233,20.2,48.53,18.9267,48.1567,17.1667,56.49,5.72667,88.16,17.76,44.2667,18.23,49.6333,16.89,45.29,6,89,40,4.26667,35.8809,35.8809,734.967,6
70,89.2778,19.2778,222.027,152.027,75,5,102,32,30,20.8567,53.66,20.2,47.0567,20.2,48.4475,18.89,47.9633,17.2,56.9333,5.52667,87.3,17.7,43.7267,18.3567,50.0267,16.89,45.29,6,88.5,40,4.18333,49.5953,49.5953,735.083,6
80,97.5444,17.5444,194.211,114.211,75,-5,128,48,30,20.89,51.1933,20.2,46.33,20.2,48.1933,18.9633,48.63,17.2,57.06,5.33333,86.76,17.6667,43.16,18.5333,50.2,16.89,45.2,6,88,40,4.1,19.0018,19.0018,735.2,6
140,132.211,-7.78889,195.796,55.7961,140,0,158,18,40,20.89,49.8,20.2,46.0267,20.1667,47.6333,19.0333,49.5,17.5933,70.7267,5.33333,87.4633,17.6,42.6933,18.6667,50.26,16.89,45.2,6,87.8333,40,4.06667,38.8723,38.8723,735.233,6
120,121.867,1.86667,140.269,20.2691,113.333,-6.66667,98,-22,20,20.89,48.4333,20.2,45.7225,20.1667,47.3,19.175,49.9475,18.0667,79,5.46667,87.53,17.6,42.3333,18.73,50.23,16.89,45.1267,6,87.6667,40,4.03333,46.7353,46.7353,735.267,6
190,156.5,-33.5,171.427,-18.5734,205,15,116,-74,40,20.9633,47.6333,20.26,45.53,20.2,47.0267,19.26,49.6967,17.6667,79.73,5.5,86.9567,17.5333,42.0667,18.8567,50.29,16.89,45.1267,6,87.5,40,4,10.6071,10.6071,735.3,6
110,111.889,1.88889,164.789,54.7892,110,0,98,-12,40,21.0333,47.0633,20.29,45.2233,20.26,46.8267,19.3233,49.1667,17.6,79.2567,5.56,86.5633,17.6333,43.6333,18.89,50.1633,16.89,45.06,6,87.3333,40,3.96667,32.5837,32.5837,735.333,6
110,116.484,6.48413,162.585,52.5848,110,0,116,6,40,21.1,46.5967,20.3567,44.9633,20.29,46.6333,19.39,48.4267,17.5667,78.3933,5.62333,86.33,17.76,43.6333,18.9633,50.03,16.89,45,6,87.1667,40,3.93333,6.27775,6.27775,735.367,6
110,104.156,-5.84444,138.333,28.3333,113.333,3.33333,118,8,30,21.1333,46.06,20.4267,44.76,20.29,46.4333,19.39,48.1933,17.76,82.46,5.76333,86.0633,17.8567,43.46,19,49.76,16.89,44.9667,6,87,40,3.9,13.361,13.361,735.4,6
110,108.321,-1.67857,114.795,4.79504,113.333,3.33333,90,-20,20,21.2,45.8,20.5,44.76,20.39,46.2233,19.39,47.8,18.3567,82.59,5.65667,85.59,17.79,43.4,19.0667,49.7,16.89,44.9,5.93333,87.1667,40,3.86667,19.3057,19.3057,735.467,6
100,110.321,10.3214,129.652,29.6518,100,0,116,16,30,21.29,45.9,20.5333,45.09,20.39,46.09,19.39,47.56,18.3567,70.99,5.53,85.73,17.89,43.79,19.1333,49.6333,16.89,44.79,5.86667,87.3333,40,3.83333,0.669517,0.669517,735.533,6
100,101.21,1.21032,104.59,4.59012,100,0,158,58,20,21.3567,45.8267,20.6667,45.1633,20.39,46.09,19.39,47.5,18.6,62.43,5.43333,86.3267,17.89,43.79,19.2,49.4333,16.89,44.79,5.8,87.5,40,3.8,19.1194,19.1194,735.6,6
100,106.421,6.42143,103.113,3.11294,100,0,166,66,20,21.39,45.69,20.7,45.06,20.39,46.09,19.4267,47.9933,18.6667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.73333,87.6667,40,3.76667,43.4845,43.4845,735.667,6
100,103.171,3.17143,101.339,1.33887,100,0,156,56,20,21.5,45.3333,20.7,44.9333,20.39,46.06,19.5667,48.4667,18.8233,56.7267,5.59,86.4667,17.865,43.57,19.29,49.3267,16.89,44.7,5.66667,87.8333,40,3.73333,17.0174,17.0174,735.733,6
110,134.338,24.3381,101.941,-8.05854,125,15,278,168,20,21.5,45.1267,20.79,44.6333,20.39,46,19.6667,48.0933,18.9633,55.3333,5.59,86.325,17.79,43.4,19.29,49.1633,16.8233,44.59,5.6,88,40,3.7,24.104,24.104,735.8,6
400,303.967,-96.0333,105.687,-294.313,396.667,-3.33333,268,-132,20,21.5333,44.9667,20.79,44.36,20.4267,45.9333,19.6,47.5,19.0333,54.0933,5.65667,86.2267,17.79,43.2233,19.3567,49.03,16.8233,44.53,5.65,87.8333,40,3.71667,29.9783,29.9783,735.883,6.16667
400,365.008,-34.9917,105.719,-294.281,396.667,-3.33333,278,-122,20,21.6,44.7667,20.89,44.2233,20.5,45.9333,19.6967,47.6267,19.1,53.3667,5.83333,85.7667,17.79,43.03,19.39,48.8633,16.89,44.59,5.7,87.6667,40,3.73333,24.6771,24.6771,735.967,6.33333
390,364.008,-25.9917,123.909,-266.091,396.667,6.66667,136,-254,30,21.6,44.56,20.9633,43.9633,20.5,45.79,20.0967,47.5667,19.1583,52.4725,5.9,85.0333,17.79,42.76,19.39,48.8633,16.89,44.5225,5.75,87.5,40,3.75,9.31088,9.31088,736.05,6.5
240,234.558,-5.44167,99.7466,-140.253,152.5,-87.5,168,-72,20,21.6,44.36,21,43.8333,20.5,45.73,20.5967,47.2233,19.2,51.99,6,84.1267,17.79,42.6267,19.34,48.95,16.8233,44.4333,5.8,87.3333,40,3.76667,41.3687,41.3687,736.133,6.66667
60,120.564,60.5643,94.3736,34.3736,60,0,254,194,20,21.6,44.2,21,43.7,20.5,45.59,20.9967,47.03,19.2225,51.52,6,84.06,17.7,42.6267,19.29,49.23,16.89,44.5,5.85,87.1667,40,3.78333,33.4233,33.4233,736.217,6.83333
60,91.5643,31.5643,92.1566,32.1566,60,0,168,108,20,21.6,44.2,21,43.59,20.4175,45.545,21.1667,46.5267,19.29,51.23,5.96667,84.79,17.7,42.76,19.3567,49.43,16.89,44.5,5.9,87,40,3.8,39.712,39.712,736.3,7
60,97.9929,37.9929,90.5368,30.5368,60,0,186,126,20,21.6,44.2,21,43.59,20.39,45.6633,21.0333,46.4,19.29,51.06,5.9,85.5967,17.7,43.03,19.39,49.89,16.89,45.0667,5.8,87.8333,37,3.85,5.39718,5.39718,736.4,6.83333
50,80.5762,30.5762,63.1016,13.1016,45,-5,120,70,10,21.6,44.2,21,43.7,20.29,45.73,20.9633,46.4333,19.29,50.9333,5.76333,86.26,17.7,43.1633,19.39,50.1633,16.89,45.26,5.7,88.6667,34,3.9,36.1855,36.1855,736.5,6.66667
70,64.2595,-5.74048,82.087,12.087,67.5,-2.5,200,130,20,21.5,44.23,20.9267,43.76,20.29,45.79,20.865,46.5675,19.29,50.8633,5.62333,86.5933,17.7,43.4,19.39,50.4633,16.89,45.4333,5.6,89.5,31,3.95,20.5637,20.5637,736.6,6.5
